Source,Target
0,1
0,2
0,5
0,21
0,51
1,2
1,21
1,76
2,82
2,58
2,76
2,77
2,81
2,9
2,89
2,15
2,21
2,32
2,34
2,51
2,87
82,81
58,9
58,21
58,59
58,77
76,21
77,9
77,21
81,6
81,21
81,8
81,9
9,8
9,86
9,89
9,90
9,91
9,92
9,93
9,21
89,21
89,90
89,93
3,4
3,5
3,6
3,7
4,26
4,29
4,37
4,43
4,52
4,19
4,20
4,27
4,54
4,78
4,79
4,5
4,51
4,80
4,6
4,7
4,12
4,17
4,42
4,48
4,50
4,75
4,106
5,29
5,79
5,51
5,25
5,6
5,7
5,12
5,17
5,21
5,24
5,50
5,63
5,69
5,75
5,94
6,26
6,38
6,103
6,105
6,52
6,99
6,19
6,53
6,83
6,27
6,100
6,84
6,54
6,11
6,47
6,39
6,55
6,79
6,24
6,56
6,51
6,57
6,7
6,12
6,17
6,20
6,42
6,46
6,48
6,50
6,70
6,85
7,26
7,16
7,17
7,19
7,20
7,83
7,100
7,11
7,47
7,39
7,55
7,51
7,80
7,92
7,57
7,41
7,46
7,48
26,27
26,48
26,51
29,28
29,63
29,65
29,69
37,17
37,23
37,27
37,42
37,48
37,50
43,42
43,16
43,40
43,49
43,41
43,44
43,48
52,17
52,19
52,69
19,12
19,17
19,53
19,54
19,11
19,24
19,20
19,38
20,12
20,17
20,53
20,83
20,27
20,84
20,54
20,85
20,11
20,24
20,51
20,80
20,48
20,50
27,84
27,96
27,50
27,79
54,17
54,24
54,53
79,50
79,51
79,84
79,57
51,21
51,42
51,48
51,72
51,87
80,84
80,85
25,12
25,14
25,18
25,24
38,17
38,39
103,56
99,11
53,17
53,24
83,50
83,95
83,57
100,11
84,39
84,50
11,10
47,41
47,42
47,46
47,48
47,50
39,50
55,17
55,57
24,12
24,17
24,14
24,18
24,50
24,75
56,17
56,50
56,57
57,17
16,12
16,40
16,41
16,42
16,48
16,101
17,12
17,42
17,46
17,50
17,75
92,21
92,86
41,40
41,49
41,42
41,48
8,21
86,21
90,21
90,93
91,21
93,21
12,13
12,14
12,15
12,18
12,21
12,22
12,23
12,48
12,50
12,75
13,14
14,18
14,75
15,31
15,32
15,21
15,33
15,34
15,35
15,22
15,36
15,42
15,48
15,50
15,75
21,34
21,87
21,88
21,36
21,48
21,50
21,75
22,36
22,48
22,50
22,75
23,42
23,48
31,32
31,34
31,48
32,34
33,35
36,48
40,49
40,48
85,50
87,72
96,50
28,30
28,63
28,65
49,42
42,44
42,45
42,46
42,48
42,50
42,75
44,46
45,48
46,97
46,98
46,50
46,94
48,102
48,101
48,50
48,75
50,97
50,98
50,75
97,98
72,73
72,74
72,104
60,61
60,62
60,63
60,65
61,62
61,63
61,65
62,63
62,67
63,64
63,65
63,66
63,67
63,68
63,69
63,70
63,71
65,69
69,70
